,x,y
7109,2001.0,190.81967213114757
7108,2001.0,190.81967213114757
7107,2001.0,190.81967213114757
7092,2001.0,191.3114754098361
7093,2001.0,191.3114754098361
7094,2001.0,191.3114754098361
7112,2001.032967032967,190.81967213114757
7079,2001.032967032967,191.8032786885246
7078,2001.032967032967,191.8032786885246
7077,2001.032967032967,191.8032786885246
7111,2001.032967032967,190.81967213114757
7095,2001.032967032967,191.3114754098361
7096,2001.032967032967,191.3114754098361
7097,2001.032967032967,191.3114754098361
7110,2001.032967032967,190.81967213114757
7099,2001.065934065934,191.3114754098361
7100,2001.065934065934,191.3114754098361
7080,2001.065934065934,191.8032786885246
7081,2001.065934065934,191.8032786885246
7098,2001.065934065934,191.3114754098361
7082,2001.065934065934,191.8032786885246
7083,2001.098901098901,191.8032786885246
7101,2001.098901098901,191.3114754098361
7102,2001.098901098901,191.3114754098361
7103,2001.098901098901,191.3114754098361
7085,2001.098901098901,191.8032786885246
7084,2001.098901098901,191.8032786885246
7067,2001.1318681318683,192.29508196721315
7066,2001.1318681318683,192.29508196721315
7065,2001.1318681318683,192.29508196721315
7087,2001.1318681318683,191.8032786885246
7088,2001.1318681318683,191.8032786885246
7106,2001.1318681318683,191.3114754098361
7105,2001.1318681318683,191.3114754098361
7086,2001.1318681318683,191.8032786885246
7104,2001.1318681318683,191.3114754098361
7057,2001.1648351648353,192.78688524590166
7089,2001.1648351648353,191.8032786885246
7090,2001.1648351648353,191.8032786885246
7058,2001.1648351648353,192.78688524590166
7091,2001.1648351648353,191.8032786885246
7056,2001.1648351648353,192.78688524590166
7070,2001.1648351648353,192.29508196721315
7069,2001.1648351648353,192.29508196721315
7068,2001.1648351648353,192.29508196721315
7059,2001.1978021978023,192.78688524590166
7048,2001.1978021978023,193.2786885245902
7047,2001.1978021978023,193.2786885245902
7049,2001.1978021978023,193.2786885245902
7060,2001.1978021978023,192.78688524590166
7071,2001.1978021978023,192.29508196721315
7072,2001.1978021978023,192.29508196721315
7073,2001.1978021978023,192.29508196721315
7061,2001.1978021978023,192.78688524590166
7062,2001.2307692307693,192.78688524590166
7026,2001.2307692307693,194.75409836065577
7035,2001.2307692307693,194.26229508196724
7036,2001.2307692307693,194.26229508196724
7037,2001.2307692307693,194.26229508196724
7041,2001.2307692307693,193.7704918032787
7042,2001.2307692307693,193.7704918032787
7043,2001.2307692307693,193.7704918032787
7076,2001.2307692307693,192.29508196721315
7028,2001.2307692307693,194.75409836065577
7074,2001.2307692307693,192.29508196721315
7063,2001.2307692307693,192.78688524590166
7050,2001.2307692307693,193.2786885245902
