,x,y
6279,2001.0,114.09836065573774
6232,2001.0,115.08196721311478
6231,2001.0,115.08196721311478
6281,2001.0,114.09836065573774
6257,2001.0,114.59016393442627
6256,2001.0,114.59016393442627
6233,2001.0,115.08196721311478
6280,2001.0,114.09836065573774
6255,2001.0,114.59016393442627
6234,2001.032967032967,115.08196721311478
6258,2001.032967032967,114.59016393442627
6235,2001.032967032967,115.08196721311478
6260,2001.032967032967,114.59016393442627
6259,2001.032967032967,114.59016393442627
6236,2001.032967032967,115.08196721311478
6237,2001.065934065934,115.08196721311478
6239,2001.065934065934,115.08196721311478
6238,2001.065934065934,115.08196721311478
6209,2001.065934065934,115.57377049180332
6208,2001.065934065934,115.57377049180332
6207,2001.065934065934,115.57377049180332
6261,2001.065934065934,114.59016393442627
6262,2001.065934065934,114.59016393442627
6263,2001.065934065934,114.59016393442627
6212,2001.098901098901,115.57377049180332
6210,2001.098901098901,115.57377049180332
6241,2001.098901098901,115.08196721311478
6186,2001.098901098901,116.06557377049182
6187,2001.098901098901,116.06557377049182
6188,2001.098901098901,116.06557377049182
6242,2001.098901098901,115.08196721311478
6211,2001.098901098901,115.57377049180332
6240,2001.098901098901,115.08196721311478
6214,2001.1318681318683,115.57377049180332
6163,2001.1318681318683,116.55737704918036
6164,2001.1318681318683,116.55737704918036
6215,2001.1318681318683,115.57377049180332
6213,2001.1318681318683,115.57377049180332
6189,2001.1318681318683,116.06557377049182
6190,2001.1318681318683,116.06557377049182
6191,2001.1318681318683,116.06557377049182
6162,2001.1318681318683,116.55737704918036
6192,2001.1648351648353,116.06557377049182
6139,2001.1648351648353,117.04918032786887
6140,2001.1648351648353,117.04918032786887
6194,2001.1648351648353,116.06557377049182
6167,2001.1648351648353,116.55737704918036
6166,2001.1648351648353,116.55737704918036
6165,2001.1648351648353,116.55737704918036
6138,2001.1648351648353,117.04918032786887
6193,2001.1648351648353,116.06557377049182
6118,2001.1978021978023,117.5409836065574
6141,2001.1978021978023,117.04918032786887
6170,2001.1978021978023,116.55737704918036
6169,2001.1978021978023,116.55737704918036
6168,2001.1978021978023,116.55737704918036
6119,2001.1978021978023,117.5409836065574
6142,2001.1978021978023,117.04918032786887
6143,2001.1978021978023,117.04918032786887
6117,2001.1978021978023,117.5409836065574
6122,2001.2307692307693,117.5409836065574
6146,2001.2307692307693,117.04918032786887
6120,2001.2307692307693,117.5409836065574
6144,2001.2307692307693,117.04918032786887
6094,2001.2307692307693,118.03278688524594
6093,2001.2307692307693,118.03278688524594
6121,2001.2307692307693,117.5409836065574
6145,2001.2307692307693,117.04918032786887
6095,2001.2307692307693,118.03278688524594
6125,2001.2637362637363,117.5409836065574
6097,2001.2637362637363,118.03278688524594
6096,2001.2637362637363,118.03278688524594
6123,2001.2637362637363,117.5409836065574
6098,2001.2637362637363,118.03278688524594
6048,2001.2637362637363,118.52459016393445
6124,2001.2637362637363,117.5409836065574
6050,2001.2637362637363,118.52459016393445
6049,2001.2637362637363,118.52459016393445
5958,2001.2967032967033,119.01639344262298
5959,2001.2967032967033,119.01639344262298
5960,2001.2967032967033,119.01639344262298
6053,2001.2967032967033,118.52459016393445
6101,2001.2967032967033,118.03278688524594
6100,2001.2967032967033,118.03278688524594
6052,2001.2967032967033,118.52459016393445
6051,2001.2967032967033,118.52459016393445
6099,2001.2967032967033,118.03278688524594
6054,2001.3296703296703,118.52459016393445
5961,2001.3296703296703,119.01639344262298
5962,2001.3296703296703,119.01639344262298
6055,2001.3296703296703,118.52459016393445
6056,2001.3296703296703,118.52459016393445
5963,2001.3296703296703,119.01639344262298
5821,2001.3296703296703,119.50819672131149
5820,2001.3296703296703,119.50819672131149
5822,2001.3296703296703,119.50819672131149
5823,2001.3626373626373,119.50819672131149
5824,2001.3626373626373,119.50819672131149
5825,2001.3626373626373,119.50819672131149
5965,2001.3626373626373,119.01639344262298
5964,2001.3626373626373,119.01639344262298
5966,2001.3626373626373,119.01639344262298
5693,2001.3956043956043,120.00000000000003
5826,2001.3956043956043,119.50819672131149
5827,2001.3956043956043,119.50819672131149
5828,2001.3956043956043,119.50819672131149
5691,2001.3956043956043,120.00000000000003
5692,2001.3956043956043,120.00000000000003
5696,2001.4285714285716,120.00000000000003
5830,2001.4285714285716,119.50819672131149
5831,2001.4285714285716,119.50819672131149
5829,2001.4285714285716,119.50819672131149
5695,2001.4285714285716,120.00000000000003
5694,2001.4285714285716,120.00000000000003
5592,2001.4285714285716,120.49180327868856
5593,2001.4285714285716,120.49180327868856
5594,2001.4285714285716,120.49180327868856
5597,2001.4615384615386,120.49180327868856
5596,2001.4615384615386,120.49180327868856
5699,2001.4615384615386,120.00000000000003
5595,2001.4615384615386,120.49180327868856
5698,2001.4615384615386,120.00000000000003
5697,2001.4615384615386,120.00000000000003
5700,2001.4945054945056,120.00000000000003
5701,2001.4945054945056,120.00000000000003
5702,2001.4945054945056,120.00000000000003
5598,2001.4945054945056,120.49180327868856
5599,2001.4945054945056,120.49180327868856
5600,2001.4945054945056,120.49180327868856
5603,2001.5274725274726,120.49180327868856
5703,2001.5274725274726,120.00000000000003
5704,2001.5274725274726,120.00000000000003
5705,2001.5274725274726,120.00000000000003
5601,2001.5274725274726,120.49180327868856
5602,2001.5274725274726,120.49180327868856
5833,2001.5604395604396,119.50819672131149
5832,2001.5604395604396,119.50819672131149
5834,2001.5604395604396,119.50819672131149
5707,2001.5604395604396,120.00000000000003
5706,2001.5604395604396,120.00000000000003
5604,2001.5604395604396,120.49180327868856
5605,2001.5604395604396,120.49180327868856
5606,2001.5604395604396,120.49180327868856
5708,2001.5604395604396,120.00000000000003
5609,2001.5934065934066,120.49180327868856
5608,2001.5934065934066,120.49180327868856
5711,2001.5934065934066,120.00000000000003
5710,2001.5934065934066,120.00000000000003
5709,2001.5934065934066,120.00000000000003
5835,2001.5934065934066,119.50819672131149
5836,2001.5934065934066,119.50819672131149
5837,2001.5934065934066,119.50819672131149
5607,2001.5934065934066,120.49180327868856
5611,2001.6263736263736,120.49180327868856
5610,2001.6263736263736,120.49180327868856
5839,2001.6263736263736,119.50819672131149
5838,2001.6263736263736,119.50819672131149
5612,2001.6263736263736,120.49180327868856
5840,2001.6263736263736,119.50819672131149
5712,2001.6263736263736,120.00000000000003
5713,2001.6263736263736,120.00000000000003
5714,2001.6263736263736,120.00000000000003
5716,2001.6593406593406,120.00000000000003
5715,2001.6593406593406,120.00000000000003
5843,2001.6593406593406,119.50819672131149
5842,2001.6593406593406,119.50819672131149
5841,2001.6593406593406,119.50819672131149
5717,2001.6593406593406,120.00000000000003
5718,2001.6923076923076,120.00000000000003
5720,2001.6923076923076,120.00000000000003
5719,2001.6923076923076,120.00000000000003
5846,2001.6923076923076,119.50819672131149
5845,2001.6923076923076,119.50819672131149
5844,2001.6923076923076,119.50819672131149
5723,2001.7252747252749,120.00000000000003
5847,2001.7252747252749,119.50819672131149
5722,2001.7252747252749,120.00000000000003
5721,2001.7252747252749,120.00000000000003
5849,2001.7252747252749,119.50819672131149
5848,2001.7252747252749,119.50819672131149
5726,2001.7582417582419,120.00000000000003
5850,2001.7582417582419,119.50819672131149
5613,2001.7582417582419,120.49180327868856
5614,2001.7582417582419,120.49180327868856
5615,2001.7582417582419,120.49180327868856
5725,2001.7582417582419,120.00000000000003
5724,2001.7582417582419,120.00000000000003
5852,2001.7582417582419,119.50819672131149
5851,2001.7582417582419,119.50819672131149
5727,2001.7912087912089,120.00000000000003
5532,2001.7912087912089,120.98360655737707
5617,2001.7912087912089,120.49180327868856
5616,2001.7912087912089,120.49180327868856
5728,2001.7912087912089,120.00000000000003
5533,2001.7912087912089,120.98360655737707
5618,2001.7912087912089,120.49180327868856
5534,2001.7912087912089,120.98360655737707
5729,2001.7912087912089,120.00000000000003
5535,2001.8241758241759,120.98360655737707
5621,2001.8241758241759,120.49180327868856
5620,2001.8241758241759,120.49180327868856
5484,2001.8241758241759,121.47540983606561
5485,2001.8241758241759,121.47540983606561
5619,2001.8241758241759,120.49180327868856
5486,2001.8241758241759,121.47540983606561
5537,2001.8241758241759,120.98360655737707
5536,2001.8241758241759,120.98360655737707
5488,2001.857142857143,121.47540983606561
5489,2001.857142857143,121.47540983606561
5429,2001.857142857143,121.96721311475412
5487,2001.857142857143,121.47540983606561
5538,2001.857142857143,120.98360655737707
5539,2001.857142857143,120.98360655737707
5540,2001.857142857143,120.98360655737707
5428,2001.857142857143,121.96721311475412
5427,2001.857142857143,121.96721311475412
5430,2001.89010989011,121.96721311475412
5306,2001.89010989011,122.95081967213119
5431,2001.89010989011,121.96721311475412
5432,2001.89010989011,121.96721311475412
5305,2001.89010989011,122.95081967213119
5379,2001.89010989011,122.45901639344265
5380,2001.89010989011,122.45901639344265
5490,2001.89010989011,121.47540983606561
5491,2001.89010989011,121.47540983606561
5492,2001.89010989011,121.47540983606561
5304,2001.89010989011,122.95081967213119
5381,2001.89010989011,122.45901639344265
5216,2001.923076923077,123.4426229508197
5307,2001.923076923077,122.95081967213119
5308,2001.923076923077,122.95081967213119
5215,2001.923076923077,123.4426229508197
5214,2001.923076923077,123.4426229508197
5309,2001.923076923077,122.95081967213119
5383,2001.923076923077,122.45901639344265
5435,2001.923076923077,121.96721311475412
5382,2001.923076923077,122.45901639344265
5384,2001.923076923077,122.45901639344265
5434,2001.923076923077,121.96721311475412
5433,2001.923076923077,121.96721311475412
5217,2001.956043956044,123.4426229508197
5134,2001.956043956044,123.93442622950823
5219,2001.956043956044,123.4426229508197
5218,2001.956043956044,123.4426229508197
5135,2001.956043956044,123.93442622950823
5310,2001.956043956044,122.95081967213119
5311,2001.956043956044,122.95081967213119
5312,2001.956043956044,122.95081967213119
5133,2001.956043956044,123.93442622950823
5053,2001.989010989011,124.42622950819674
5136,2001.989010989011,123.93442622950823
5054,2001.989010989011,124.42622950819674
5138,2001.989010989011,123.93442622950823
5221,2001.989010989011,123.4426229508197
5052,2001.989010989011,124.42622950819674
5220,2001.989010989011,123.4426229508197
5137,2001.989010989011,123.93442622950823
5222,2001.989010989011,123.4426229508197
5055,2002.0219780219782,124.42622950819674
5056,2002.0219780219782,124.42622950819674
5057,2002.0219780219782,124.42622950819674
5141,2002.0219780219782,123.93442622950823
5140,2002.0219780219782,123.93442622950823
5139,2002.0219780219782,123.93442622950823
5060,2002.0549450549452,124.42622950819674
5059,2002.0549450549452,124.42622950819674
5144,2002.0549450549452,123.93442622950823
5143,2002.0549450549452,123.93442622950823
5142,2002.0549450549452,123.93442622950823
5058,2002.0549450549452,124.42622950819674
5061,2002.0879120879122,124.42622950819674
5063,2002.0879120879122,124.42622950819674
5062,2002.0879120879122,124.42622950819674
4956,2002.0879120879122,124.91803278688528
5146,2002.0879120879122,123.93442622950823
5147,2002.0879120879122,123.93442622950823
4957,2002.0879120879122,124.91803278688528
4958,2002.0879120879122,124.91803278688528
5145,2002.0879120879122,123.93442622950823
5064,2002.1208791208792,124.42622950819674
5066,2002.1208791208792,124.42622950819674
4959,2002.1208791208792,124.91803278688528
4960,2002.1208791208792,124.91803278688528
4961,2002.1208791208792,124.91803278688528
5065,2002.1208791208792,124.42622950819674
5069,2002.1538461538462,124.42622950819674
5068,2002.1538461538462,124.42622950819674
5067,2002.1538461538462,124.42622950819674
4964,2002.1538461538462,124.91803278688528
4962,2002.1538461538462,124.91803278688528
4963,2002.1538461538462,124.91803278688528
5071,2002.1868131868132,124.42622950819674
5070,2002.1868131868132,124.42622950819674
5072,2002.1868131868132,124.42622950819674
4967,2002.1868131868132,124.91803278688528
4966,2002.1868131868132,124.91803278688528
4965,2002.1868131868132,124.91803278688528
4968,2002.2197802197802,124.91803278688528
4856,2002.2197802197802,125.40983606557378
4855,2002.2197802197802,125.40983606557378
4854,2002.2197802197802,125.40983606557378
4969,2002.2197802197802,124.91803278688528
4970,2002.2197802197802,124.91803278688528
4972,2002.2527472527472,124.91803278688528
4973,2002.2527472527472,124.91803278688528
4859,2002.2527472527472,125.40983606557378
4858,2002.2527472527472,125.40983606557378
4752,2002.2527472527472,125.90163934426232
