,x,y
7796,2001.0,209.5081967213115
7795,2001.0,209.5081967213115
7794,2001.0,209.5081967213115
7778,2001.0,210.00000000000003
7777,2001.0,210.00000000000003
7776,2001.0,210.00000000000003
7779,2001.032967032967,210.00000000000003
7781,2001.032967032967,210.00000000000003
7799,2001.032967032967,209.5081967213115
7798,2001.032967032967,209.5081967213115
7797,2001.032967032967,209.5081967213115
7780,2001.032967032967,210.00000000000003
7782,2001.065934065934,210.00000000000003
7783,2001.065934065934,210.00000000000003
7784,2001.065934065934,210.00000000000003
7802,2001.065934065934,209.5081967213115
7759,2001.065934065934,210.49180327868856
7758,2001.065934065934,210.49180327868856
7801,2001.065934065934,209.5081967213115
7800,2001.065934065934,209.5081967213115
7760,2001.065934065934,210.49180327868856
7762,2001.098901098901,210.49180327868856
7763,2001.098901098901,210.49180327868856
7761,2001.098901098901,210.49180327868856
7786,2001.098901098901,210.00000000000003
7787,2001.098901098901,210.00000000000003
7785,2001.098901098901,210.00000000000003
7790,2001.1318681318683,210.00000000000003
7789,2001.1318681318683,210.00000000000003
7788,2001.1318681318683,210.00000000000003
7766,2001.1318681318683,210.49180327868856
7765,2001.1318681318683,210.49180327868856
7764,2001.1318681318683,210.49180327868856
7793,2001.1648351648353,210.00000000000003
7750,2001.1648351648353,210.98360655737707
7751,2001.1648351648353,210.98360655737707
7792,2001.1648351648353,210.00000000000003
7791,2001.1648351648353,210.00000000000003
7749,2001.1648351648353,210.98360655737707
7768,2001.1648351648353,210.49180327868856
7767,2001.1648351648353,210.49180327868856
7769,2001.1648351648353,210.49180327868856
7772,2001.1978021978023,210.49180327868856
7752,2001.1978021978023,210.98360655737707
7753,2001.1978021978023,210.98360655737707
7754,2001.1978021978023,210.98360655737707
7771,2001.1978021978023,210.49180327868856
7770,2001.1978021978023,210.49180327868856
7739,2001.2307692307693,211.96721311475412
7743,2001.2307692307693,211.4754098360656
7737,2001.2307692307693,211.96721311475412
7727,2001.2307692307693,212.95081967213116
